=== big_periods ===
test_name seed_costas.e seed_kociumaka.e seed_kociumaka_nlogn.e
bigperiod_500000_62_146666.in 1.1551227569580078 3.747727394104004 1.2942662239074707
bigperiod_500000_26_326666.in 1.5646145343780518 3.2161850929260254 1.240255355834961
bigperiod_500000_4_45000.in 1.4753212928771973 3.5937602519989014 1.1481623649597168
bigperiod_500000_4_96666.in 1.665518045425415 3.718086004257202 1.2401459217071533
bigperiod_500000_2_150000.in 2.0850627422332764 4.090909242630005 1.1753075122833252
bigperiod_500000_10_326666.in 1.7883009910583496 3.291780710220337 1.210240125656128
bigperiod_500000_26_65000.in 1.1051363945007324 3.726897954940796 1.221648931503296
bigperiod_500000_62_293333.in 1.430638313293457 3.5783934593200684 1.268320083618164
bigperiod_500000_26_303333.in 1.5583631992340088 3.583325147628784 1.266066551208496
bigperiod_500000_10_385000.in 1.7794477939605713 1.9051768779754639 1.2047483921051025
bigperiod_500000_26_256666.in 1.5305712223052979 3.7661211490631104 1.2747347354888916
bigperiod_500000_4_275000.in 2.0998480319976807 3.863502025604248 1.260617733001709
bigperiod_500000_4_223333.in 1.905336618423462 3.779567241668701 1.2412207126617432
bigperiod_500000_62_215000.in 1.3385200500488281 3.786842107772827 1.3256142139434814
bigperiod_500000_26_76666.in 1.1232962608337402 3.4807016849517822 1.2346916198730469
bigperiod_500000_4_245000.in 2.045301675796509 3.6034326553344727 1.2517285346984863
bigperiod_500000_62_485000.in 1.5280508995056152 1.7361786365509033 1.2582759857177734
bigperiod_500000_10_155000.in 1.4327971935272217 3.8131139278411865 1.2280359268188477
bigperiod_500000_2_133333.in 2.1898868083953857 4.035700559616089 1.1743431091308594
bigperiod_500000_26_153333.in 1.2757210731506348 3.7139856815338135 1.2670621871948242
bigperiod_500000_26_400000.in 1.5176596641540527 1.779944896697998 1.2332501411437988
bigperiod_500000_2_390000.in 2.6729671955108643 2.246835231781006 1.1991281509399414
bigperiod_500000_62_176666.in 1.2023439407348633 3.1568126678466797 1.2695958614349365
bigperiod_500000_7_326666.in 1.9214396476745605 3.401644706726074 1.224484920501709
bigperiod_500000_26_375000.in 1.5632908344268799 1.8025033473968506 1.2235767841339111
bigperiod_500000_2_385000.in 2.656468629837036 2.2384984493255615 1.1905851364135742
bigperiod_500000_62_365000.in 1.4671077728271484 1.7920186519622803 1.2476952075958252
bigperiod_500000_7_170000.in 1.6142475605010986 3.2227625846862793 1.2449078559875488
bigperiod_500000_10_226666.in 1.6799893379211426 3.728255271911621 1.2809090614318848
bigperiod_500000_4_135000.in 1.729708194732666 3.8641366958618164 1.2380304336547852
bigperiod_500000_7_153333.in 1.592561960220337 3.7995991706848145 1.2574338912963867
bigperiod_500000_2_103333.in 2.1280601024627686 3.8057708740234375 1.1701970100402832
bigperiod_500000_26_270000.in 1.5126338005065918 3.482661485671997 1.2810239791870117
bigperiod_500000_7_220000.in 1.7904553413391113 3.8090550899505615 1.2465448379516602
bigperiod_500000_26_25000.in 0.9726908206939697 3.3027303218841553 1.1262474060058594
bigperiod_500000_62_60000.in 0.964644193649292 3.541562080383301 1.2280824184417725
bigperiod_500000_62_350000.in 1.4552669525146484 1.8492121696472168 1.247652292251587
bigperiod_500000_2_25000.in 1.713606595993042 3.3557558059692383 1.0755796432495117
bigperiod_500000_7_225000.in 1.8011384010314941 3.7777493000030518 1.238945484161377
bigperiod_500000_2_93333.in 1.943840742111206 3.8001816272735596 1.1631343364715576
bigperiod_500000_26_355000.in 1.5512540340423584 1.8265089988708496 1.2222964763641357
bigperiod_500000_26_345000.in 1.5554964542388916 1.8268656730651855 1.2211201190948486
bigperiod_500000_10_273333.in 1.7646028995513916 3.8508238792419434 1.2509925365447998
bigperiod_500000_2_163333.in 2.2761855125427246 4.026626348495483 1.1904659271240234
bigperiod_500000_7_116666.in 1.4331424236297607 3.880615472793579 1.2098126411437988
bigperiod_500000_2_190000.in 2.3335111141204834 3.419266700744629 1.2175841331481934
bigperiod_500000_2_213333.in 2.408557653427124 4.00881814956665 1.2158422470092773
bigperiod_500000_7_265000.in 1.876939296722412 3.8115298748016357 1.2648725509643555
bigperiod_500000_4_150000.in 1.818150281906128 3.828106641769409 1.240760087966919
bigperiod_500000_7_53333.in 1.3153657913208008 3.734531879425049 1.1754179000854492
bigperiod_500000_62_400000.in 1.4212284088134766 1.7750449180603027 1.2466120719909668
bigperiod_500000_10_230000.in 1.6874933242797852 3.669243335723877 1.2528057098388672
bigperiod_500000_7_333333.in 1.889803171157837 2.0541980266571045 1.2054073810577393
bigperiod_500000_2_45000.in 1.8796231746673584 3.6791820526123047 1.1109330654144287
bigperiod_500000_10_136666.in 1.4581518173217773 3.8806869983673096 1.217085599899292
bigperiod_500000_7_63333.in 1.3697683811187744 3.6103620529174805 1.242661714553833
bigperiod_500000_26_220000.in 1.475379467010498 3.6990747451782227 1.26076078414917
bigperiod_500000_26_285000.in 1.5296366214752197 3.6804327964782715 1.2386255264282227
bigperiod_500000_62_220000.in 1.3376853466033936 3.705434799194336 1.3084523677825928
bigperiod_500000_2_100000.in 2.0938408374786377 3.871979236602783 1.1622815132141113
bigperiod_500000_62_246666.in 1.4112915992736816 3.4995851516723633 1.2985334396362305
bigperiod_500000_10_275000.in 1.7762458324432373 3.7914927005767822 1.2601697444915771
bigperiod_500000_7_143333.in 1.5461697578430176 3.8230535984039307 1.2641797065734863
bigperiod_500000_4_420000.in 2.0200583934783936 2.000377893447876 1.2083611488342285
bigperiod_500000_62_325000.in 1.4449443817138672 3.2312424182891846 1.2583558559417725
bigperiod_500000_10_305000.in 1.7677645683288574 3.6586272716522217 1.2229671478271484
bigperiod_500000_2_455000.in 2.725801706314087 2.2338578701019287 1.2163398265838623
bigperiod_500000_26_276666.in 1.559370994567871 3.6808197498321533 1.2615911960601807
bigperiod_500000_26_185000.in 1.314424753189087 3.1444342136383057 1.2839138507843018
bigperiod_500000_4_465000.in 2.1828534603118896 1.9770729541778564 1.2057957649230957
bigperiod_500000_4_43333.in 1.4686708450317383 3.5442512035369873 1.136364221572876
bigperiod_500000_10_10000.in 1.0155870914459229 3.0319690704345703 1.0778405666351318
bigperiod_500000_2_273333.in 2.555220603942871 4.18263840675354 1.2253241539001465
bigperiod_500000_2_145000.in 2.1753287315368652 4.084739685058594 1.1760156154632568
bigperiod_500000_62_123333.in 1.1099789142608643 3.6173207759857178 1.2846126556396484
bigperiod_500000_7_5000.in 1.0331299304962158 2.940539836883545 0.9879815578460693
bigperiod_500000_10_43333.in 1.1960608959197998 3.4857306480407715 1.2113714218139648
bigperiod_500000_2_33333.in 1.7838642597198486 3.450948476791382 1.0910084247589111
bigperiod_500000_62_175000.in 1.2174460887908936 3.1066510677337646 1.269533395767212
bigperiod_500000_7_156666.in 1.5873892307281494 3.858729124069214 1.2303102016448975
bigperiod_500000_2_333333.in 2.6269373893737793 2.5012476444244385 1.21140456199646
bigperiod_500000_4_116666.in 1.7095847129821777 3.8101603984832764 1.2487776279449463
bigperiod_500000_62_225000.in 1.3604333400726318 3.6623919010162354 1.3029966354370117
bigperiod_500000_7_260000.in 1.7461919784545898 3.855926990509033 1.2344908714294434
bigperiod_500000_26_186666.in 1.362809419631958 3.1440541744232178 1.2550685405731201
bigperiod_500000_7_110000.in 1.486938714981079 3.6554503440856934 1.2545361518859863
bigperiod_500000_62_440000.in 1.479753017425537 1.676882266998291 1.2575962543487549
bigperiod_500000_7_450000.in 1.9073281288146973 1.9071838855743408 1.2155828475952148
bigperiod_500000_4_315000.in 2.0985653400421143 3.6617650985717773 1.2183904647827148
bigperiod_500000_26_155000.in 1.266190767288208 3.672703742980957 1.274839162826538
bigperiod_500000_4_340000.in 2.1203598976135254 2.060088634490967 1.2116470336914062
bigperiod_500000_10_450000.in 1.8212981224060059 1.8610987663269043 1.202558994293213
bigperiod_500000_26_145000.in 1.261925220489502 3.747756242752075 1.2698917388916016
bigperiod_500000_2_370000.in 2.629256248474121 2.2444653511047363 1.1895899772644043
bigperiod_500000_4_113333.in 1.7049319744110107 3.8644027709960938 1.2446765899658203
bigperiod_500000_7_380000.in 1.819838285446167 1.9365215301513672 1.2352571487426758
bigperiod_500000_10_123333.in 1.4172539710998535 3.8305251598358154 1.2358472347259521
bigperiod_500000_2_110000.in 2.1184194087982178 3.846691846847534 1.1660594940185547
bigperiod_500000_2_480000.in 2.7475056648254395 2.2798726558685303 1.2198810577392578
bigperiod_500000_7_330000.in 1.8785719871520996 3.303950309753418 1.2367026805877686
bigperiod_500000_7_15000.in 1.1317572593688965 3.1970834732055664 1.0436654090881348
bigperiod_500000_2_340000.in 2.6324214935302734 2.30680513381958 1.1970946788787842
bigperiod_500000_2_215000.in 2.4593684673309326 3.9991345405578613 1.2071306705474854
bigperiod_500000_10_320000.in 1.7763102054595947 3.455486536026001 1.2167425155639648
bigperiod_500000_7_43333.in 1.2804899215698242 3.5625979900360107 1.2145628929138184
bigperiod_500000_26_410000.in 1.5621106624603271 1.7789435386657715 1.229515790939331
bigperiod_500000_10_500000.in 1.844153642654419 1.842015266418457 1.207468032836914
bigperiod_500000_7_90000.in 1.4314682483673096 3.732320547103882 1.2544314861297607
bigperiod_500000_2_285000.in 2.560859203338623 4.177049160003662 1.2108078002929688
bigperiod_500000_26_163333.in 1.2870101928710938 3.651984930038452 1.2747859954833984
bigperiod_500000_26_405000.in 1.5649840831756592 1.7900266647338867 1.2284066677093506
bigperiod_500000_62_203333.in 1.318314790725708 3.1949398517608643 1.293738842010498
bigperiod_500000_26_390000.in 1.5820848941802979 1.7633731365203857 1.2349660396575928
bigperiod_500000_7_236666.in 1.810426950454712 3.6630396842956543 1.2592761516571045
bigperiod_500000_7_95000.in 1.4290881156921387 3.67742657661438 1.259333848953247
bigperiod_500000_4_110000.in 1.6811211109161377 3.7384214401245117 1.2445011138916016
bigperiod_500000_7_175000.in 1.6216251850128174 3.2630627155303955 1.230055570602417
bigperiod_500000_2_425000.in 2.7095789909362793 2.2450761795043945 1.207181692123413
bigperiod_500000_10_190000.in 1.546961784362793 3.241649627685547 1.2579851150512695
bigperiod_500000_2_113333.in 2.082711696624756 3.981585741043091 1.1828079223632812
bigperiod_500000_26_170000.in 1.3110558986663818 3.148932933807373 1.2899789810180664
bigperiod_500000_7_125000.in 1.5283763408660889 3.9191958904266357 1.2422566413879395
bigperiod_500000_10_13333.in 1.0364201068878174 3.1608126163482666 1.1236376762390137
